Fase 1 500 paletes layout 1
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Checking ampl.mod for gurobi_options...
Checking ampl.com for gurobi_options...
Executing AMPL.
processing data.
processing commands.
Executing on prod-exec-4.neos-server.org

226000 variables, all binary
952 constraints, all linear; 452000 nonzeros
	452 equality constraints
	500 inequality constraints
1 linear objective; 219500 nonzeros.

Gurobi 8.1.0: threads=4
Gurobi 8.1.0: optimal solution; objective 422941
140205 simplex iterations
:        _varname[j]  _var[j]    :=
6        'x[1,6]'         1
90679    'x[182,179]'     1
91191    'x[183,191]'     1
91692    'x[184,192]'     1
92200    'x[185,200]'     1
92684    'x[186,184]'     1
93188    'x[187,188]'     1
93696    'x[188,196]'     1
94189    'x[189,189]'     1
94694    'x[190,194]'     1
95202    'x[191,202]'     1
95706    'x[192,206]'     1
96205    'x[193,205]'     1
96698    'x[194,198]'     1
97201    'x[195,201]'     1
97697    'x[196,197]'     1
98193    'x[197,193]'     1
98710    'x[198,210]'     1
99211    'x[199,211]'     1
99708    'x[200,208]'     1
100207   'x[201,207]'     1
100716   'x[202,216]'     1
101203   'x[203,203]'     1
101715   'x[204,215]'     1
102199   'x[205,199]'     1
102721   'x[206,221]'     1
103220   'x[207,220]'     1
103704   'x[208,204]'     1
104212   'x[209,212]'     1
104713   'x[210,213]'     1
105226   'x[211,226]'     1
105717   'x[212,217]'     1
106225   'x[213,225]'     1
106709   'x[214,209]'     1
107230   'x[215,230]'     1
107731   'x[216,231]'     1
108214   'x[217,214]'     1
108723   'x[218,223]'     1
109235   'x[219,235]'     1
109724   'x[220,224]'     1
110219   'x[221,219]'     1
110727   'x[222,227]'     1
111236   'x[223,236]'     1
111740   'x[224,240]'     1
112228   'x[225,228]'     1
112732   'x[226,232]'     1
113233   'x[227,233]'     1
113734   'x[228,234]'     1
114237   'x[229,237]'     1
114745   'x[230,245]'     1
115229   'x[231,229]'     1
115741   'x[232,241]'     1
116247   'x[233,247]'     1
116738   'x[234,238]'     1
117246   'x[235,246]'     1
117739   'x[236,239]'     1
118250   'x[237,250]'     1
118742   'x[238,242]'     1
119255   'x[239,255]'     1
119743   'x[240,243]'     1
120252   'x[241,252]'     1
120748   'x[242,248]'     1
121251   'x[243,251]'     1
121744   'x[244,244]'     1
122257   'x[245,257]'     1
122753   'x[246,253]'     1
123249   'x[247,249]'     1
123758   'x[248,258]'     1
124270   'x[249,270]'     1
124766   'x[250,266]'     1
125262   'x[251,262]'     1
125776   'x[252,276]'     1
126268   'x[253,268]'     1
126775   'x[254,275]'     1
127254   'x[255,254]'     1
127763   'x[256,263]'     1
128271   'x[257,271]'     1
128759   'x[258,259]'     1
129267   'x[259,267]'     1
129777   'x[260,277]'     1
130282   'x[261,282]'     1
130786   'x[262,286]'     1
131272   'x[263,272]'     1
131780   'x[264,280]'     1
132264   'x[265,264]'     1
132781   'x[266,281]'     1
133278   'x[267,278]'     1
133769   'x[268,269]'     1
134273   'x[269,273]'     1
134790   'x[270,290]'     1
135274   'x[271,274]'     1
135791   'x[272,291]'     1
136325   'x[273,325]'     1
136809   'x[274,309]'     1
137292   'x[275,292]'     1
137812   'x[276,312]'     1
138283   'x[277,283]'     1
138801   'x[278,301]'     1
139293   'x[279,293]'     1
139805   'x[280,305]'     1
140304   'x[281,304]'     1
140820   'x[282,320]'     1
141279   'x[283,279]'     1
141810   'x[284,310]'     1
142294   'x[285,294]'     1
142784   'x[286,284]'     1
143297   'x[287,297]'     1
143822   'x[288,322]'     1
144300   'x[289,300]'     1
144807   'x[290,307]'     1
145308   'x[291,308]'     1
145802   'x[292,302]'     1
146295   'x[293,295]'     1
146813   'x[294,313]'     1
147298   'x[295,298]'     1
147806   'x[296,306]'     1
148330   'x[297,330]'     1
148814   'x[298,314]'     1
149315   'x[299,315]'     1
149787   'x[300,287]'     1
150303   'x[301,303]'     1
150821   'x[302,321]'     1
151296   'x[303,296]'     1
151811   'x[304,311]'     1
152326   'x[305,326]'     1
152827   'x[306,327]'     1
153331   'x[307,331]'     1
153833   'x[308,333]'     1
154337   'x[309,337]'     1
154819   'x[310,319]'     1
155329   'x[311,329]'     1
155845   'x[312,345]'     1
156336   'x[313,336]'     1
156841   'x[314,341]'     1
157328   'x[315,328]'     1
157848   'x[316,348]'     1
158355   'x[317,355]'     1
158856   'x[318,356]'     1
159344   'x[319,344]'     1
159847   'x[320,347]'     1
160346   'x[321,346]'     1
160860   'x[322,360]'     1
161353   'x[323,353]'     1
161834   'x[324,334]'     1
162352   'x[325,352]'     1
162843   'x[326,343]'     1
163338   'x[327,338]'     1
163839   'x[328,339]'     1
164342   'x[329,342]'     1
164850   'x[330,350]'     1
165351   'x[331,351]'     1
165861   'x[332,361]'     1
166365   'x[333,365]'     1
166857   'x[334,357]'     1
167349   'x[335,349]'     1
167890   'x[336,390]'     1
168367   'x[337,367]'     1
168873   'x[338,373]'     1
169368   'x[339,368]'     1
169875   'x[340,375]'     1
170380   'x[341,380]'     1
170878   'x[342,378]'     1
171386   'x[343,386]'     1
171874   'x[344,374]'     1
172383   'x[345,383]'     1
172882   'x[346,382]'     1
173393   'x[347,393]'     1
173900   'x[348,400]'     1
174397   'x[349,397]'     1
174888   'x[350,388]'     1
175389   'x[351,389]'     1
175879   'x[352,379]'     1
176392   'x[353,392]'     1
176891   'x[354,391]'     1
177405   'x[355,405]'     1
177884   'x[356,384]'     1
178416   'x[357,416]'     1
178910   'x[358,410]'     1
179415   'x[359,415]'     1
179906   'x[360,406]'     1
180394   'x[361,394]'     1
180907   'x[362,407]'     1
181399   'x[363,399]'     1
181903   'x[364,403]'     1
182402   'x[365,402]'     1
182898   'x[366,398]'     1
183412   'x[367,412]'     1
183918   'x[368,418]'     1
184425   'x[369,425]'     1
184909   'x[370,409]'     1
185408   'x[371,408]'     1
185920   'x[372,420]'     1
186430   'x[373,430]'     1
186904   'x[374,404]'     1
187417   'x[375,417]'     1
187922   'x[376,422]'     1
