%% YOUR COMMENTS %%%%%%%%%%%%%%%%%%%%%%%
Fase 2 500 paletes layout 1
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Checking ampl.mod for gurobi_options...
Checking ampl.com for gurobi_options...
Executing AMPL.
processing data.
processing commands.
Executing on prod-exec-1.neos-server.org

226000 variables, all binary
952 constraints, all linear; 452000 nonzeros
	452 equality constraints
	500 inequality constraints
1 linear objective; 219500 nonzeros.

Gurobi 8.1.0: threads=4
Gurobi 8.1.0: optimal solution; objective 167516
172879 simplex iterations
1135 branch-and-cut nodes
:        _varname[j]  _var[j]    :=
88558    'x[178,58]'      1
89066    'x[179,66]'      1
89570    'x[180,70]'      1
90066    'x[181,66]'      1
90554    'x[182,54]'      1
91054    'x[183,54]'      1
91562    'x[184,62]'      1
92066    'x[185,66]'      1
92570    'x[186,70]'      1
93071    'x[187,71]'      1
93559    'x[188,59]'      1
94067    'x[189,67]'      1
94567    'x[190,67]'      1
95071    'x[191,71]'      1
95567    'x[192,67]'      1
96075    'x[193,75]'      1
96575    'x[194,75]'      1
97075    'x[195,75]'      1
97571    'x[196,71]'      1
98059    'x[197,59]'      1
98559    'x[198,59]'      1
99064    'x[199,64]'      1
99576    'x[200,76]'      1
100064   'x[201,64]'      1
100580   'x[202,80]'      1
101064   'x[203,64]'      1
101568   'x[204,68]'      1
102063   'x[205,63]'      1
102576   'x[206,76]'      1
103063   'x[207,63]'      1
103563   'x[208,63]'      1
104080   'x[209,80]'      1
104572   'x[210,72]'      1
105072   'x[211,72]'      1
105576   'x[212,76]'      1
106068   'x[213,68]'      1
106568   'x[214,68]'      1
107080   'x[215,80]'      1
107572   'x[216,72]'      1
108085   'x[217,85]'      1
108581   'x[218,81]'      1
109085   'x[219,85]'      1
109581   'x[220,81]'      1
110073   'x[221,73]'      1
110573   'x[222,73]'      1
111081   'x[223,81]'      1
111577   'x[224,77]'      1
112077   'x[225,77]'      1
112585   'x[226,85]'      1
113086   'x[227,86]'      1
113582   'x[228,82]'      1
114077   'x[229,77]'      1
114574   'x[230,74]'      1
115082   'x[231,82]'      1
115573   'x[232,73]'      1
116086   'x[233,86]'      1
116578   'x[234,78]'      1
117090   'x[235,90]'      1
117578   'x[236,78]'      1
118082   'x[237,82]'      1
118590   'x[238,90]'      1
119090   'x[239,90]'      1
119574   'x[240,74]'      1
120074   'x[241,74]'      1
120583   'x[242,83]'      1
121078   'x[243,78]'      1
121586   'x[244,86]'      1
122079   'x[245,79]'      1
122587   'x[246,87]'      1
123087   'x[247,87]'      1
123579   'x[248,79]'      1
124079   'x[249,79]'      1
124583   'x[250,83]'      1
125083   'x[251,83]'      1
125588   'x[252,88]'      1
126092   'x[253,92]'      1
126596   'x[254,96]'      1
127100   'x[255,100]'     1
127592   'x[256,92]'      1
128087   'x[257,87]'      1
128592   'x[258,92]'      1
129100   'x[259,100]'     1
129597   'x[260,97]'      1
130093   'x[261,93]'      1
130588   'x[262,88]'      1
131105   'x[263,105]'     1
131593   'x[264,93]'      1
132088   'x[265,88]'      1
132605   'x[266,105]'     1
133096   'x[267,96]'      1
133597   'x[268,97]'      1
134100   'x[269,100]'     1
134596   'x[270,96]'      1
135089   'x[271,89]'      1
135593   'x[272,93]'      1
136098   'x[273,98]'      1
136611   'x[274,111]'     1
137089   'x[275,89]'      1
137607   'x[276,107]'     1
138110   'x[277,110]'     1
138603   'x[278,103]'     1
139106   'x[279,106]'     1
139603   'x[280,103]'     1
140101   'x[281,101]'     1
140602   'x[282,102]'     1
141094   'x[283,94]'      1
141589   'x[284,89]'      1
142110   'x[285,110]'     1
142615   'x[286,115]'     1
143106   'x[287,106]'     1
143601   'x[288,101]'     1
144106   'x[289,106]'     1
144603   'x[290,103]'     1
145111   'x[291,111]'     1
145605   'x[292,105]'     1
146098   'x[293,98]'      1
146602   'x[294,102]'     1
147110   'x[295,110]'     1
147594   'x[296,94]'      1
148099   'x[297,99]'      1
148615   'x[298,115]'     1
149107   'x[299,107]'     1
149602   'x[300,102]'     1
150094   'x[301,94]'      1
150597   'x[302,97]'      1
151111   'x[303,111]'     1
151598   'x[304,98]'      1
152101   'x[305,101]'     1
152599   'x[306,99]'      1
153115   'x[307,115]'     1
153599   'x[308,99]'      1
154107   'x[309,107]'     1
154620   'x[310,120]'     1
155120   'x[311,120]'     1
155612   'x[312,112]'     1
156120   'x[313,120]'     1
156612   'x[314,112]'     1
157112   'x[315,112]'     1
157613   'x[316,113]'     1
